glacier,Carrivick,HF,Bedmap2,Deepbedmap,Bedmachine,Shahateet
ADD_1631,0.006473588236686,0.01400652747662,0.02625627135032,0.034361480541194,0.024423825865142,0.0165804364435955
ADD_1634,0.014319505600754,0.029378926988255,0.035588034585484,0.01449593166663,0.00066899594248,0.0419995289390125
ADD_1638,0.003517913972614,0.003638552975909,0.005208051866141,0.002668284042078,0.005315342307419,0.0026293096595444
ADD_1640,0.001860652336581,0.004322437419517,0.003932313723042,0.00119666517417,0.019888157106227,0.00456028982385272
ADD_1642,0.005767075167316,0.00940794083309,0.011053324686312,0.010595640518479,0.005007443548428,0.00774483431859426
ADD_1655,0.228831445699265,0.243250351568854,0.193426256500828,0,0.013050343693253,0.174123548373684
ADD_1658,0.003117205429371,0.006079304539715,0.004450154127923,0.010923463748973,0.000538392909454,0.00732524326463126
ADD_1673,0.010291140170388,0.018966417941379,0.024419912031878,0.100122782575841,0.025611181285467,0.0258785023201731
ADD_1694,0.624864364471331,0.552771190353106,0.14822127990477,0.420132010567575,0.521268404572287,0.420207909581349
ADD_1709,0.009807154750322,0.010329402708831,0.009956517484407,0.013471312091551,0.006318917539906,0.010255690896996
ADD_1715,0.09043088222577,0.082890192350291,0.105291521906523,0.096864809959244,0.127646101809596,0.0921899018558349
ADD_1718,0.940697732554319,0.851164833039035,0,0.893663001776649,0.00268018578789,0.377199513414434
ADD_1724,0.264996841019037,0.287161547849866,0.002988645583129,0.394384631539326,0.005365962796752,0.203405944970808
ADD_1738,0.009382524170133,0.007090581950159,0.006618896847378,0,0.000312337387233,0.0110757339902876
ADD_1768,0.016736526672724,0.025937035003892,0.000562583256582,0.026388626941105,0.000890890222289,0.0268622476300725
ADD_1805,0.51749099597442,0.291342524105897,0.128009217865202,0.205820958140352,0.00988551274247,0.520568717133763
ADD_1806,1.48215164007287,1.41227042496795,0.450441767697412,0.378078899902954,0.200021046752005,1.23256949264816
ADD_1808,0.083962358412885,0.03944420969303,0.007468113852786,0.022313450267037,0.000558212195487,0.0597220063802509
ADD_1811,0.012117483723367,0.032464519138533,0,0.018364443330426,0.000881639470959,0.0251039175974697
ADD_1816,0.042802134538788,0.079678240777696,0.017771324284344,0.139429423999947,0.001311080308395,0.0649950908887966
ADD_1836,0.005973610530158,0.017549184280512,0.000695332826668,0.057215347247344,3.63332507852729E-05,0.0194536281146193
ADD_1858,0.200604326119378,0.218410292601908,0,0,0.00061298995724,0.249474324925753
ADD_1869,0.111035810561351,0.086204975333131,0.054207301977507,0.095125602815635,0.074220522308654,0.06439338454782
ADD_1894,0.121232277187583,0.098913763364396,0,0,0.00050546388979,0.116878616444626
ADD_1901,0.066412884279513,0.153286362708487,0.001946467680899,0,0.026058231253655,0.137575381831079
ADD_1929,0.016344189030195,0.040329513288497,0,0,0.000757038160001,0.0369199758226673
