glacier,Carrivick,HF,Shahateet,diff_car,diff_hf
Doyle_Glacier1,0.093557429271739,0.103160783988368,0.131691613195997,0.33859574723582,0.242968175327856
Drummod_Glacier,1.09360388959947,1.81380224193263,0.838369447398787,0.264221495517371,0.735572888028029
Drygalski_term,4.29464914930492,1.67420602130814,2.32053996419252,0.596841345347024,0.32359201072124
Duse1_term,0.310687159299479,0.449371029556611,0.527535069092144,0.517399568867916,0.16002364944522
Eden_Glacier,0.057235600768087,0.06712277095274,0.0777656864113676,0.304146517003062,0.146911847254771
Erskine_Glacier1,0.099857770927821,0.255442367611204,0.103478342389178,0.0356116914235747,0.846783264314084
Erskine_Glacier2,0.481235025437411,2.23452458158413,0.777768019224605,0.471060010608313,0.967207874805002
Eureka_Glacier2,4.31338974405876,2.57455073638013,1.82022262232335,0.812952293953325,0.343284193512686
Evans_Glacier,1.23003432343538,0.688855227757232,0.498472075085176,0.846467503940228,0.320691947732167
Eyrie1_term,0.069825907348252,0.132560977306466,0.095206243888336,0.307580509008806,0.32800798308183
Field_Glacier,0.098534225061975,0.326044374852003,0.258533108060766,0.896183258208007,0.230974571428407
Flask_Glacier,1.68187187689912,1.67209208569166,0.944509083334107,0.561504827159221,0.556128317124044
Flint_Glacier,0.066407881670241,0.205875231717505,0.136690298815633,0.692102873371436,0.403922325717937
Forbes_Glacier,0.226958040048599,0.429876503512072,0.280125108456981,0.209697634658419,0.421833957925206
Forel_Glacier,0.008551533751367,0.027623415082217,0.0188233099007471,0.750453685136341,0.378933291193196
Franca_Glacier,0.006198606069861,0.010359942688668,0.0191558225764272,1.02208704343753,0.596012321466796
Fricker_Glacier,0.421432819437624,0.864993051516343,0.52148648814887,0.212221062621667,0.495509026336469
Friedrichsen_Glacier,0.025094653016638,0.049023359168489,0.0357154902953738,0.349311371434899,0.314091327822203
Funk_Glacier,0.100994998921141,0.458393082210373,0.259905277083696,0.880632621962446,0.552661168046513
Glaciar_NueveDeJulio,0.035549893776436,0.043075997580997,0.039372372033019,0.102038511923931,0.0898410863748212
Goodwin_Glacier,0.00167658685655,0.021320213345807,0.0184647675361467,1.66703592541762,0.143543907593306
Gould_Glacier,0.087501511182693,0.445113643658751,0.314676168420473,1.12972285016879,0.343351472116547
Hariot_Glacier,2.90302859575834,2.08216104230131,1.15084535407676,0.864448802979113,0.576129814817503
Hariot_Glacier2,0.477572937176215,0.355606236779118,0.362044010255838,0.275194366368424,0.0179412562130879
Hariot_Glacier3,0.13650562299039,0.049519211416984,0.0484886300667472,0.951564618566372,0.0210305896882317
Heim_Glacier,0.428255371301286,0.232392026074216,0.317862838706182,0.295911642724815,0.310658998593594
Hektoria_Glacier,10.040927339603,7.45774430045213,3.40335702147896,0.987418911985861,0.746588611743529
Hess_Glacier,0.038761239201962,0.049546081026751,0.0524286966499631,0.2997580230826,0.0565358550199682
Hoek_Glacier,0.534329889830559,0.27748459840825,0.369922287956458,0.363632194453669,0.285562886324117
Hopkins_Glacier,0.221812177564597,0.358087730964405,0.436120947042436,0.651460646873009,0.196505574010761
Hugi_Glacier,3.40831656702985,3.72878055752046,2.55457190772657,0.286352717451471,0.373752278354076
Hugi_Glacier2,0.057262469882849,0.050425309388414,0.0524736268900494,0.0872792660506275,0.0398122191679859
Huidobro_IceField,0.015800619806223,0.019601287613967,0.0231268010637818,0.376402088493046,0.165020882464642
Jorum_Glacier1,0.170680859238563,0.117136135950818,0.0904448038444402,0.614539792426441,0.2571655387311
Jorum_Glacier2,0.072735538307116,0.058098390719596,0.0429520621063144,0.514894873683351,0.299777550514804
Jorum_Glacier3,0.566378890235429,0.436704100434881,0.215761721904173,0.896557889692283,0.677253492722858
Krebs_term,0.034065827607081,0.111722332928202,0.0732414388230699,0.730157658828991,0.416091148453427
LAB2_term,0.006919406381926,0.007329476255822,0.00438850931864414,0.447632814092212,0.501957767141533
LAB32_term,0.044570465839667,0.056805730845832,0.0397409215903704,0.114564459120168,0.35350390355042
Landau_term,0.11385922225585,0.143616636618024,0.104872071698458,0.0821752607495604,0.311841654150497
Lawrie_Glacier,0.459186621490781,1.14710527611275,0.573491977129283,0.2213764394677,0.666760681969748
Leay_Glacier1,0.177999637196192,0.145004793806563,0.179557437773219,0.0087135771381969,0.21291845202366
Leay_Glacier2,0.133096222879114,0.444784866692389,0.220487505133915,0.494317330415051,0.674302349104724
Leonardo_term,0.145571587425303,0.223498768188887,0.141350315341201,0.0294245370841365,0.450314700274759
Leppard_Glacier,2.15463787068054,1.8689190212409,1.22226754123411,0.552203994910116,0.418383987467284
Lever_Glacier,0.693929401781581,0.748800480169351,0.324277167240754,0.726084953263975,0.791225712236561
Lewis_Glacier,0.202641274634727,0.297702209976994,0.301076888467925,0.390836070817395,0.0112718646983349
Lind_Glacier,0.038554806862711,0.053235304579095,0.0466113229155206,0.189195307425343,0.132683132716358
Lliboutry_Glacier,0.110990482907908,0.181066152624223,0.105763410259555,0.0482304845552609,0.52506960306027
Luke_Glacier,0.122915233020668,0.392174056063947,0.282719114151998,0.787920856530951,0.324362274630596
Lurabee_Glacier,0.235768882905669,0.866825296700974,0.630355028578294,0.911154028749918,0.315887490811865
Maitland_Glacier,0.40614265096241,0.341290036283241,0.172310930623663,0.808471855935611,0.658017085432035
Mapple_Glacier,0.042183056781286,0.031126238157685,0.0390520861781947,0.0770841409032294,0.225877380103175
Martin_Glacier,0.182240774527046,0.318231969722031,0.243899579681871,0.289382615590527,0.264466173866184
Matthes_Glacier,0.091154757463756,0.386029652570834,0.288777195953868,1.04030438457428,0.288237906386351
McCance_Glacier,1.48130154356021,1.8783277699617,1.00613116378024,0.38205687203335,0.604755780003413
