Lon,Lat,Thick,Elev,Unc,Day,Qual,Source
-6.2438029000000000e+01,-6.7435149999999865e+01,284.3500,531.4483,10.1441,735301,1,IRMCR2_20091116_01
-6.2436449000000003e+01,-6.7430590999999879e+01,284.3500,531.6474,10.1441,735301,1,IRMCR2_20091116_01
-6.2434866000000000e+01,-6.7426030999999867e+01,293.2400,531.8878,10.2448,735301,1,IRMCR2_20091116_01
-6.2433304999999997e+01,-6.7421522999999851e+01,284.1800,532.0722,10.1422,735301,1,IRMCR2_20091116_01
-6.2431727000000009e+01,-6.7416967999999869e+01,284.1800,531.9490,10.1422,735301,1,IRMCR2_20091116_01
-6.2430150000000005e+01,-6.7412411999999875e+01,275.1300,531.8669,10.0418,735301,1,IRMCR2_20091116_01
-6.2428573000000000e+01,-6.7407854999999870e+01,275.1300,531.8259,10.0418,735301,1,IRMCR2_20091116_01
-6.2426994999999998e+01,-6.7403297999999864e+01,279.8900,531.8260,10.0943,735301,1,IRMCR2_20091116_01
-6.2425423000000002e+01,-6.7398738999999878e+01,282.2500,531.8674,10.1206,735301,1,IRMCR2_20091116_01
-6.2423852999999994e+01,-6.7394180999999875e+01,275.7000,531.9498,10.0481,735301,1,IRMCR2_20091116_01
-6.2422279000000003e+01,-6.7389622999999858e+01,275.5300,532.0735,10.0462,735301,1,IRMCR2_20091116_01
-6.2420704999999998e+01,-6.7385062999999860e+01,275.4400,532.2383,10.0452,735301,1,IRMCR2_20091116_01
-6.2419133000000002e+01,-6.7380501999999879e+01,300.4200,532.4444,10.3277,735301,1,IRMCR2_20091116_01
-6.2417574999999999e+01,-6.7375991999999854e+01,277.0000,532.5000,10.0624,735301,1,IRMCR2_20091116_01
-6.2416003000000011e+01,-6.7371435999999861e+01,283.2000,532.6069,10.1312,735301,1,IRMCR2_20091116_01
-6.2414428000000001e+01,-6.7366879999999867e+01,275.1400,532.7550,10.0420,735301,1,IRMCR2_20091116_01
-6.2411869000000010e+01,-6.7359455999999867e+01,293.4400,532.5393,10.2471,735301,1,IRMCR2_20091116_01
-6.2410302999999999e+01,-6.7354896999999852e+01,292.7700,532.6235,10.2394,735301,1,IRMCR2_20091116_01
-6.2408738999999997e+01,-6.7350337999999851e+01,284.0600,532.7489,10.1408,735301,1,IRMCR2_20091116_01
-6.2407173999999998e+01,-6.7345779999999877e+01,284.0400,532.9154,10.1406,735301,1,IRMCR2_20091116_01
-6.2405610000000003e+01,-6.7341221999999874e+01,275.4500,533.1230,10.0454,735301,1,IRMCR2_20091116_01
-6.2404039000000004e+01,-6.7336665999999852e+01,284.3000,533.3717,10.1435,735301,1,IRMCR2_20091116_01
-6.2402485000000006e+01,-6.7332160999999871e+01,283.8000,533.7362,10.1379,735301,1,IRMCR2_20091116_01
-6.2400919999999999e+01,-6.7327601999999857e+01,293.0700,533.5600,10.2429,735301,1,IRMCR2_20091116_01
-6.2399360000000001e+01,-6.7323042999999856e+01,297.8300,533.4251,10.2976,735301,1,IRMCR2_20091116_01
-6.2397810999999997e+01,-6.7318483999999856e+01,293.4000,533.3312,10.2466,735301,1,IRMCR2_20091116_01
-6.2396262999999990e+01,-6.7313924999999855e+01,293.1200,533.2786,10.2434,735301,1,IRMCR2_20091116_01
-6.2394724000000004e+01,-6.7309365999999855e+01,293.4100,533.2671,10.2467,735301,1,IRMCR2_20091116_01
-6.2393183999999991e+01,-6.7304806999999855e+01,290.1200,533.2967,10.2092,735301,1,IRMCR2_20091116_01
-6.2391629999999992e+01,-6.7300249999999878e+01,284.6800,533.3675,10.1478,735301,1,IRMCR2_20091116_01
-6.2390059999999998e+01,-6.7295691999999860e+01,301.0900,533.4794,10.3355,735301,1,IRMCR2_20091116_01
-6.2388477999999999e+01,-6.7291135999999867e+01,286.3000,533.6324,10.1660,735301,1,IRMCR2_20091116_01
-6.2386913999999997e+01,-6.7286649999999867e+01,284.1000,533.7437,10.1413,735301,1,IRMCR2_20091116_01
-6.2385326999999997e+01,-6.7282091999999864e+01,292.0800,533.6297,10.2315,735301,1,IRMCR2_20091116_01
-6.2383743999999993e+01,-6.7277533999999875e+01,285.3100,533.5569,10.1548,735301,1,IRMCR2_20091116_01
-6.2382168000000000e+01,-6.7272976999999869e+01,284.0400,533.5252,10.1406,735301,1,IRMCR2_20091116_01
